id,applicant_account_No.,bank_sort_code,age,sex,education_qualifications,income,home_ownership,employment_length,loan_intent,loan_amount,loan_interest_rate,loan_income_ratio,payment_default_on_file,credit_history_length,loan_approval_status,max_loan_amount(allowed),credit_application_acceptance
697415,50503163,200070,40,M,Unknown ,80000,OWN,10,PERSONAL,20000,18.62,0.25,N,14,Approved,20000,0
839993,18129171,235911,40,M,Unknown ,72000,RENT,3,HOMEIMPROVEMENT,20000,13.47,0.28,N,16,Approved,20000,0
551121,23186948,041302,40,M,Unknown ,78000,MORTGAGE,3,EDUCATION,20000,11.83,0.26,N,15,Approved,20000,0
217529,25186513,405276,40,M,Unknown ,200000,MORTGAGE,3,VENTURE,20000,11.86,0.1,N,14,Approved,20000,0
330764,52564857,700518,40,M,Unknown ,190000,OWN,0,EDUCATION,20000,6.03,0.1,N,14,Approved,20000,0
423224,30751526,609371,40,M,Unknown ,130000,RENT,3,HOMEIMPROVEMENT,20000,14.09,0.15,N,13,Approved,20000,0
744977,80923105,608376,40,M,Unknown ,109720,MORTGAGE,19,PERSONAL,20000,10.75,0.18,N,14,Approved,20000,0
999136,33501211,300098,40,M,Unknown ,80000,MORTGAGE,5,MEDICAL,20000,13.23,0.25,N,12,Approved,20000,0
840692,28940491,165562,40,M,Unknown ,98000,MORTGAGE,22,HOMEIMPROVEMENT,20000,9.88,0.2,N,16,Approved,20000,0
358351,23525030,300250,40,M,Unknown ,96000,MORTGAGE,18,HOMEIMPROVEMENT,18000,15.27,0.19,N,12,Approved,18000,0
454323,2399512,230123,40,M,Unknown ,100000,MORTGAGE,6,EDUCATION,18000,6.99,0.18,N,14,Approved,18000,0
293427,51629045,405037,40,M,Unknown ,60000,MORTGAGE,2,MEDICAL,18000,10.37,0.31,N,14,Approved,18000,0
720306,27012265,234635,40,M,Unknown ,550000,MORTGAGE,5,VENTURE,18000,11.12,0.03,N,13,Approved,18000,0
845114,40236442,609588,40,M,Unknown ,142000,MORTGAGE,2,EDUCATION,18000,12.99,0.13,Y,14,Approved,18000,0
933861,18932317,301657,40,M,Unknown ,80000,RENT,5,HOMEIMPROVEMENT,18000,10.99,0.23,N,16,Approved,18000,0
565769,66530004,405132,40,M,Unknown ,79872,MORTGAGE,4,DEBTCONSOLIDATION,18000,12.68,0.23,N,12,Approved,18000,0
183092,90097078,600168,40,M,Unknown ,50000,RENT,3,MEDICAL,18000,10.25,0.36,N,15,Approved,18000,0
290112,47041142,231976,40,M,Unknown ,120000,MORTGAGE,4,PERSONAL,17625,7.49,0.15,N,17,Approved,17625,0
422658,17267169,159900,40,M,Unknown ,108928,MORTGAGE,0,HOMEIMPROVEMENT,17600,14.27,0.15,Y,14,Approved,17600,0
328460,12154906,608362,40,M,Unknown ,75000,MORTGAGE,0,VENTURE,17600,6.76,0.23,N,17,Approved,17600,0
236348,85655325,405143,40,M,Unknown ,78301,MORTGAGE,5,MEDICAL,17000,6.62,0.22,N,13,Approved,17000,0
829811,74480127,165709,40,M,Unknown ,54400,MORTGAGE,3,HOMEIMPROVEMENT,17000,12.99,0.28,Y,13,Approved,17000,0
507437,30580901,609189,40,M,Unknown ,60000,RENT,0,EDUCATION,17000,11.71,0.28,N,13,Approved,17000,0
858103,31541533,602610,40,M,Unknown ,70000,MORTGAGE,18,DEBTCONSOLIDATION,17000,11.12,0.24,N,12,Approved,17000,0
352239,25312107,301631,40,M,Unknown ,60000,MORTGAGE,18,VENTURE,16750,7.88,0.28,N,14,Approved,16750,0
539338,25028070,185005,40,M,Unknown ,200000,RENT,5,PERSONAL,16000,11.14,0.08,N,13,Approved,16000,0
851867,21015062,041307,40,M,Unknown ,110000,MORTGAGE,5,EDUCATION,16000,10.25,0.15,N,13,Approved,16000,0
257011,54063470,040400,40,M,Unknown ,67000,RENT,12,VENTURE,16000,9.99,0.24,N,13,Approved,16000,0
805659,76109810,165187,40,M,Unknown ,56472,RENT,4,EDUCATION,15775,14.42,0.28,N,15,Approved,15775,0
224606,18021491,820403,40,M,Unknown ,75000,MORTGAGE,0,HOMEIMPROVEMENT,15000,8.94,0.2,N,17,Approved,15000,0
347514,41491260,080050,40,M,Unknown ,60000,MORTGAGE,2,HOMEIMPROVEMENT,15000,8.94,0.25,N,13,Approved,15000,0
818352,82441033,301242,40,M,Unknown ,58000,MORTGAGE,9,HOMEIMPROVEMENT,15000,6.17,0.26,N,14,Approved,15000,0
490507,87463871,608384,40,M,Unknown ,77000,MORTGAGE,5,MEDICAL,15000,12.21,0.19,N,14,Approved,15000,0
391620,47721826,185050,40,M,Unknown ,50000,RENT,2,VENTURE,15000,11.26,0.3,N,15,Approved,15000,0
462120,45876601,501032,40,M,Unknown ,60000,RENT,2,MEDICAL,15000,13.11,0.25,Y,14,Approved,15000,0
636550,17521964,700808,40,M,Unknown ,150000,RENT,8,HOMEIMPROVEMENT,15000,10.25,0.1,N,13,Approved,15000,0
971155,97818284,608368,40,M,Unknown ,60000,RENT,4,HOMEIMPROVEMENT,15000,14.96,0.25,Y,16,Approved,15000,0
989843,36959172,165221,40,M,Unknown ,110000,RENT,2,DEBTCONSOLIDATION,15000,5.42,0.14,N,12,Approved,15000,0
871205,13576961,406377,40,M,Unknown ,90000,RENT,1,MEDICAL,15000,14.26,0.17,Y,15,Approved,15000,0
581342,21765868,301275,40,M,Unknown ,50000,RENT,6,EDUCATION,15000,16.89,0.3,N,17,Approved,15000,0
423197,65150099,300030,40,M,Unknown ,60000,OWN,20,HOMEIMPROVEMENT,15000,13.43,0.25,Y,13,Approved,15000,0
819507,79574331,231618,40,M,Unknown ,69996,OWN,2,EDUCATION,15000,12.84,0.21,N,11,Approved,15000,0
491153,31997313,041304,40,M,Unknown ,70000,MORTGAGE,5,EDUCATION,15000,14.26,0.21,Y,15,Approved,15000,0
321735,91456912,231134,40,M,Unknown ,53000,MORTGAGE,2,HOMEIMPROVEMENT,15000,10.62,0.28,N,15,Approved,15000,0
815440,37445194,235863,40,M,Unknown ,58000,MORTGAGE,16,PERSONAL,15000,10.25,0.26,N,14,Approved,15000,0
954436,33785427,040476,40,M,Unknown ,100000,MORTGAGE,4,HOMEIMPROVEMENT,15000,11.49,0.15,N,13,Approved,15000,0
707141,43413745,608309,40,M,Unknown ,135000,MORTGAGE,0,PERSONAL,15000,13.47,0.11,Y,17,Approved,15000,0
497220,89022084,405204,40,M,Unknown ,63000,MORTGAGE,3,HOMEIMPROVEMENT,15000,10.25,0.24,N,17,Approved,15000,0
626728,21018278,301309,40,M,Unknown ,48000,MORTGAGE,17,MEDICAL,14750,9.91,0.29,N,15,Approved,14750,0
242520,50359784,938831,40,M,Unknown ,42000,MORTGAGE,13,EDUCATION,14500,7.88,0.33,N,13,Approved,14500,0
788146,55608101,609263,40,M,Unknown ,57000,RENT,0,DEBTCONSOLIDATION,14400,11.71,0.25,N,12,Approved,14400,0
571538,51749454,609280,40,M,Unknown ,75000,RENT,2,EDUCATION,14400,14.72,0.19,Y,16,Approved,14400,0
705851,50984989,700672,40,M,Unknown ,110000,RENT,5,PERSONAL,14000,5.42,0.13,N,11,Approved,14000,0
765831,64130258,110001,40,M,Unknown ,54996,RENT,1,VENTURE,14000,10.37,0.25,N,15,Approved,14000,0
842164,25314114,405162,40,M,Unknown ,180000,MORTGAGE,6,MEDICAL,14000,14.27,0.08,Y,14,Approved,14000,0
926647,8813664,700319,40,M,Unknown ,86500,OWN,24,EDUCATION,14000,7.29,0.16,N,12,Approved,14000,0
926090,10524179,122130,40,M,Unknown ,140000,RENT,5,HOMEIMPROVEMENT,14000,7.88,0.1,N,13,Approved,14000,0
969195,67973141,404869,40,M,Unknown ,70000,RENT,3,DEBTCONSOLIDATION,14000,13.49,0.2,Y,12,Approved,14000,0
128206,41214284,400001,40,M,Unknown ,117600,MORTGAGE,8,DEBTCONSOLIDATION,14000,13.48,0.12,N,17,Approved,14000,0
567840,49899635,400550,40,M,Unknown ,60000,RENT,2,HOMEIMPROVEMENT,14000,12.53,0.23,N,15,Approved,14000,0
586300,23107100,400002,40,M,Unknown ,180000,MORTGAGE,8,EDUCATION,14000,11.99,0.08,N,11,Approved,14000,0
908694,95643910,406243,40,M,Unknown ,115000,MORTGAGE,12,DEBTCONSOLIDATION,14000,6.03,0.12,N,16,Approved,14000,0
980625,68362974,232290,40,M,Unknown ,115000,MORTGAGE,16,VENTURE,14000,6.03,0.12,N,13,Approved,14000,0
671902,31422500,406283,40,M,Unknown ,54000,MORTGAGE,2,HOMEIMPROVEMENT,13200,7.88,0.25,N,16,Approved,13200,0
992878,22530910,235889,40,M,Unknown ,63996,MORTGAGE,8,MEDICAL,13000,10.25,0.2,N,17,Approved,13000,0
683043,29359936,405206,40,M,Unknown ,48000,RENT,5,VENTURE,13000,5.79,0.25,N,11,Approved,13000,0
250438,60755784,609591,40,M,Unknown ,101877,RENT,8,HOMEIMPROVEMENT,12800,7.88,0.12,N,14,Approved,12800,0
744082,86839183,609242,40,M,Unknown ,52000,RENT,2,HOMEIMPROVEMENT,12800,10.99,0.25,N,17,Approved,12800,0
886281,84663445,165487,40,M,Unknown ,90000,MORTGAGE,19,VENTURE,12000,12.61,0.13,N,13,Approved,12000,0
414764,65486490,301473,40,M,Unknown ,60000,MORTGAGE,15,PERSONAL,12000,14.27,0.2,N,16,Approved,12000,0
563367,21137924,405210,40,M,Unknown ,65000,MORTGAGE,7,MEDICAL,12000,8.94,0.18,N,12,Approved,12000,0
389293,75999367,086119,40,M,Unknown ,60000,RENT,5,HOMEIMPROVEMENT,12000,11.71,0.2,N,14,Approved,12000,0
979655,95870060,300001,40,M,Unknown ,40000,RENT,2,EDUCATION,12000,7.9,0.3,N,11,Approved,12000,0
600216,40531143,700633,40,M,Unknown ,60000,RENT,5,PERSONAL,12000,11.71,0.2,N,13,Approved,12000,0
162408,87229961,041334,40,M,Unknown ,50000,RENT,4,HOMEIMPROVEMENT,12000,13.99,0.24,Y,16,Approved,12000,0
350165,10711923,609556,40,M,Unknown ,132000,RENT,1,HOMEIMPROVEMENT,12000,12.87,0.09,N,16,Approved,12000,0
499466,34229505,406250,40,M,Unknown ,55000,MORTGAGE,3,EDUCATION,12000,15.2,0.22,N,14,Approved,12000,0
427688,76032609,230580,40,M,Unknown ,53000,RENT,7,PERSONAL,12000,16.77,0.23,N,16,Approved,12000,0
894125,39343070,041300,40,M,Unknown ,150000,MORTGAGE,5,VENTURE,12000,7.29,0.08,N,17,Approved,12000,0
203209,56904940,622111,40,M,Unknown ,60000,RENT,6,PERSONAL,12000,13.49,0.2,N,16,Approved,12000,0
269823,67689982,405069,40,M,Unknown ,54000,RENT,4,DEBTCONSOLIDATION,12000,11.36,0.22,N,17,Approved,12000,0
499304,78468576,041312,40,M,Unknown ,180000,RENT,2,DEBTCONSOLIDATION,12000,7.51,0.07,N,13,Approved,12000,0
968639,87850186,405228,40,M,Unknown ,75000,MORTGAGE,7,PERSONAL,12000,7.88,0.17,N,13,Approved,12000,0
545838,80413784,600109,40,M,Unknown ,55000,RENT,3,EDUCATION,12000,14.27,0.22,N,15,Approved,12000,0
721347,93396811,700512,40,M,Unknown ,110000,MORTGAGE,0,MEDICAL,12000,10.37,0.11,N,15,Approved,12000,0
112638,9000136,010004,40,M,Unknown ,50000,MORTGAGE,6,DEBTCONSOLIDATION,12000,10.37,0.24,N,14,Approved,12000,0
397993,27252148,405111,40,M,Unknown ,130000,MORTGAGE,3,PERSONAL,12000,9.91,0.09,N,15,Approved,12000,0
322611,3077333,405188,40,M,Unknown ,75000,MORTGAGE,3,MEDICAL,12000,7.51,0.16,N,13,Approved,12000,0
340111,34863848,608394,40,M,Unknown ,90000,MORTGAGE,11,EDUCATION,12000,10,0.13,N,11,Approved,12000,0
510343,46257631,950001,40,M,Unknown ,100000,MORTGAGE,0,HOMEIMPROVEMENT,12000,8.59,0.12,N,15,Approved,12000,0
725827,88124106,301561,40,M,Unknown ,72000,RENT,3,PERSONAL,12000,14.27,0.17,Y,15,Approved,12000,0
714585,32241364,405059,40,M,Unknown ,38000,OWN,10,VENTURE,12000,5.42,0.32,N,16,Approved,12000,0
695181,58169898,404878,40,M,Unknown ,85000,OWN,16,VENTURE,12000,7.51,0.14,N,14,Approved,12000,0
836959,15627171,232862,40,M,Unknown ,123735,MORTGAGE,8,PERSONAL,12000,7.88,0.1,N,12,Approved,12000,0
304100,91827840,300059,40,M,Unknown ,110000,RENT,1,VENTURE,12000,6.99,0.11,N,15,Approved,12000,0
169102,57446516,232866,40,M,Unknown ,130000,MORTGAGE,6,MEDICAL,11800,11.14,0.09,N,13,Approved,11800,0
294498,83509703,041313,40,M,Unknown ,65000,RENT,6,MEDICAL,11500,12.87,0.18,Y,17,Approved,11500,0
627441,66821954,609500,40,M,Unknown ,40000,RENT,0,PERSONAL,11500,14.26,0.28,N,12,Approved,11500,0
839510,66721271,609379,40,M,Unknown ,95000,MORTGAGE,3,HOMEIMPROVEMENT,11200,14.27,0.12,N,16,Approved,11200,0
689415,22543771,405091,40,M,Unknown ,50000,MORTGAGE,5,VENTURE,11000,5.99,0.22,N,14,Approved,11000,0
854197,45847911,405176,40,M,Unknown ,130000,MORTGAGE,1,PERSONAL,11000,10.99,0.08,N,12,Approved,11000,0
502761,73631049,150000,40,M,Unknown ,125000,RENT,3,VENTURE,10200,8.49,0.08,N,17,Approved,10200,0
898899,67112185,041320,40,M,Unknown ,74000,RENT,7,MEDICAL,10200,12.53,0.14,N,17,Approved,10200,0
965005,36799826,126000,40,F,Unknown ,57600,RENT,1,PERSONAL,10000,13.61,0.17,N,11,Approved,10000,0
785345,21605128,090009,40,F,Unknown ,60000,MORTGAGE,12,DEBTCONSOLIDATION,10000,7.14,0.17,N,14,Approved,10000,0
439035,97409982,405278,40,F,Unknown ,50000,MORTGAGE,2,EDUCATION,10000,15.28,0.2,Y,17,Approved,10000,0
728747,22569666,609137,40,F,Unknown ,120000,MORTGAGE,2,HOMEIMPROVEMENT,10000,10.37,0.08,N,12,Approved,10000,0
586001,44690834,621000,40,F,Unknown ,90000,RENT,1,MEDICAL,10000,11.86,0.11,N,12,Approved,10000,0
545609,18739248,404865,40,F,Unknown ,35640,MORTGAGE,2,MEDICAL,10000,7.88,0.28,N,11,Approved,10000,0
660639,96931928,405125,40,F,Unknown ,150000,MORTGAGE,8,MEDICAL,10000,7.29,0.07,N,12,Approved,10000,0
441678,98378144,165760,40,F,Unknown ,82000,OWN,10,EDUCATION,10000,9.99,0.12,N,11,Approved,10000,0
225902,73424915,230089,40,F,Unknown ,63000,MORTGAGE,0,MEDICAL,10000,10.74,0.16,N,14,Approved,10000,0
151268,18870458,609104,40,F,Unknown ,102000,MORTGAGE,2,MEDICAL,10000,9.63,0.1,N,14,Approved,10000,0
824229,94115593,608371,40,F,Unknown ,36000,MORTGAGE,3,PERSONAL,10000,5.99,0.28,N,17,Approved,10000,0
859032,27736307,608365,40,F,Unknown ,175500,MORTGAGE,2,HOMEIMPROVEMENT,10000,12.18,0.06,N,15,Approved,10000,0
677367,25896830,600159,40,F,Unknown ,125000,RENT,3,EDUCATION,10000,14.27,0.08,N,15,Approved,10000,0
199782,91917673,165766,40,F,Unknown ,42000,RENT,4,VENTURE,10000,7.9,0.24,N,15,Approved,10000,0
297539,41977481,405130,40,F,Unknown ,85000,MORTGAGE,18,MEDICAL,10000,9.99,0.12,N,12,Approved,10000,0
586811,46824424,609267,40,F,Unknown ,98000,MORTGAGE,5,VENTURE,10000,11.48,0.1,N,11,Approved,10000,0
877012,94219142,300173,40,F,Unknown ,60000,MORTGAGE,12,VENTURE,10000,10.36,0.17,N,16,Approved,10000,0
559550,69783369,040504,40,F,Unknown ,75996,MORTGAGE,15,MEDICAL,10000,6.91,0.13,N,16,Approved,10000,0
582295,38553084,165345,40,F,Unknown ,200000,MORTGAGE,2,DEBTCONSOLIDATION,10000,7.9,0.05,N,14,Approved,10000,0
834687,79298411,165810,40,F,Unknown ,40000,MORTGAGE,4,MEDICAL,10000,5.99,0.25,N,16,Approved,10000,0
750911,43998627,302885,40,F,Unknown ,75000,MORTGAGE,0,EDUCATION,10000,10.95,0.13,N,14,Approved,10000,0
533376,15389719,405198,40,F,Unknown ,60000,RENT,5,MEDICAL,10000,10.59,0.17,N,17,Approved,10000,0
510376,43852153,405033,40,F,Unknown ,44000,RENT,4,VENTURE,10000,6.62,0.23,N,17,Approved,10000,0
598607,52996614,232320,40,F,Unknown ,50000,RENT,5,VENTURE,10000,6.62,0.2,N,16,Approved,10000,0
193319,24594259,980000,40,F,Unknown ,70000,RENT,2,EDUCATION,10000,10.65,0.14,N,12,Approved,10000,0
889205,22263355,235797,40,F,Unknown ,38004,RENT,4,MEDICAL,10000,9.63,0.26,N,13,Approved,10000,0
343708,14467498,235626,40,F,Unknown ,120000,MORTGAGE,2,MEDICAL,10000,11.99,0.08,N,11,Approved,10000,0
119176,85289330,233504,40,F,Unknown ,60000,RENT,2,VENTURE,10000,13.43,0.17,Y,14,Approved,10000,0
212471,12001676,041315,40,F,Unknown ,100000,OWN,16,MEDICAL,10000,7.49,0.1,N,17,Approved,10000,0
694087,5329128,040482,40,F,Unknown ,60000,MORTGAGE,4,HOMEIMPROVEMENT,10000,7.88,0.17,N,16,Approved,10000,0
663660,8895583,040079,40,F,Unknown ,112500,MORTGAGE,2,HOMEIMPROVEMENT,10000,10.25,0.09,N,12,Approved,10000,0
857380,73613070,609303,40,F,Unknown ,108288,MORTGAGE,13,DEBTCONSOLIDATION,10000,10.37,0.09,N,14,Approved,10000,0
973791,51020018,050005,40,F,Unknown ,39000,MORTGAGE,6,HOMEIMPROVEMENT,10000,11.48,0.26,N,15,Approved,10000,0
932570,1185289,090025,40,F,Unknown ,150000,MORTGAGE,5,EDUCATION,10000,7.9,0.07,N,13,Approved,10000,0
969646,61994953,239285,40,F,Unknown ,60000,RENT,5,HOMEIMPROVEMENT,10000,13.43,0.17,N,17,Approved,10000,0
423553,15370099,300083,40,F,Unknown ,80000,MORTGAGE,3,HOMEIMPROVEMENT,10000,11.49,0.13,N,17,Approved,10000,0
173540,7579298,405179,40,F,Unknown ,67000,RENT,13,DEBTCONSOLIDATION,10000,10.74,0.15,N,14,Approved,10000,0
104533,39778619,300066,40,F,Unknown ,50000,RENT,3,HOMEIMPROVEMENT,10000,6.62,0.2,N,15,Approved,10000,0
878121,60897219,608312,40,F,Unknown ,70000,MORTGAGE,2,EDUCATION,10000,14.27,0.14,Y,12,Approved,10000,0
549209,49952214,236078,40,F,Unknown ,115000,RENT,16,EDUCATION,9975,7.49,0.09,N,14,Approved,9975,0
828245,8476372,405047,40,F,Unknown ,114000,RENT,2,VENTURE,9975,11.49,0.09,N,16,Approved,9975,0
908925,24027402,165501,40,F,Unknown ,106000,MORTGAGE,19,EDUCATION,9600,9.99,0.09,N,14,Approved,9600,0
826754,76053531,700603,40,F,Unknown ,45760,MORTGAGE,2,PERSONAL,9125,11.11,0.2,N,11,Approved,9125,0
632307,99419798,560075,40,F,Unknown ,75000,MORTGAGE,2,VENTURE,9000,5.79,0.12,N,14,Approved,9000,0
743498,2923102,301495,40,F,Unknown ,118000,MORTGAGE,1,VENTURE,9000,14.11,0.07,N,14,Approved,9000,0
161918,3833538,165050,40,F,Unknown ,92700,RENT,1,EDUCATION,9000,9.63,0.1,N,11,Approved,9000,0
692457,88923580,608386,40,F,Unknown ,65000,MORTGAGE,5,MEDICAL,9000,10.99,0.14,N,13,Approved,9000,0
333346,9956758,405056,40,F,Unknown ,170000,MORTGAGE,18,HOMEIMPROVEMENT,9000,9.45,0.05,N,11,Approved,9000,0
365203,81641918,165101,40,F,Unknown ,45000,RENT,0,HOMEIMPROVEMENT,9000,12.61,0.19,Y,13,Approved,9000,0
848256,53790490,609390,40,F,Unknown ,110000,MORTGAGE,3,PERSONAL,9000,13.72,0.08,Y,15,Approved,9000,0
715346,22029127,609230,40,F,Unknown ,68000,MORTGAGE,4,EDUCATION,8700,15.58,0.12,Y,16,Approved,8700,0
425142,95678949,235441,40,F,Unknown ,28800,OWN,0,VENTURE,8000,10.38,0.28,N,17,Approved,8000,0
331582,50025342,116701,40,F,Unknown ,62000,MORTGAGE,3,HOMEIMPROVEMENT,8000,14.83,0.13,N,15,Approved,8000,0
694936,99033162,609492,40,F,Unknown ,35000,OWN,2,PERSONAL,8000,16.29,0.23,Y,13,Approved,8000,0
213117,39864467,609587,40,F,Unknown ,55000,MORTGAGE,2,VENTURE,8000,12.53,0.15,N,13,Approved,8000,0
121713,77653826,200052,40,F,Unknown ,60000,RENT,1,HOMEIMPROVEMENT,8000,13.57,0.13,N,12,Approved,8000,0
686844,74379366,200070,40,F,Unknown ,48000,RENT,15,DEBTCONSOLIDATION,8000,9.25,0.17,N,14,Approved,8000,0
806314,63992593,235911,40,F,Unknown ,55000,MORTGAGE,5,PERSONAL,8000,8.49,0.15,N,14,Approved,8000,0
987829,10806458,041302,40,F,Unknown ,60000,RENT,6,PERSONAL,8000,10.37,0.13,N,11,Approved,8000,0
979226,71714812,405276,40,F,Unknown ,50000,MORTGAGE,5,MEDICAL,8000,5.99,0.16,N,11,Approved,8000,0
478303,4293523,700518,40,F,Unknown ,69996,RENT,1,MEDICAL,8000,9.32,0.11,N,16,Approved,8000,0
299528,83090774,609371,40,F,Unknown ,87000,RENT,2,EDUCATION,8000,12.21,0.09,N,11,Approved,8000,0
708117,89870000,608376,40,F,Unknown ,70000,OWN,11,HOMEIMPROVEMENT,8000,13.61,0.11,N,15,Approved,8000,0
968067,96822496,300098,40,F,Unknown ,61500,RENT,3,MEDICAL,8000,10.37,0.13,N,17,Approved,8000,0
911755,56677754,165562,40,F,Unknown ,38400,RENT,2,PERSONAL,8000,12.42,0.21,N,11,Approved,8000,0
436114,73824061,300250,40,F,Unknown ,89440,OWN,8,HOMEIMPROVEMENT,8000,11.86,0.09,N,16,Approved,8000,0
113552,67913888,230123,40,F,Unknown ,150000,MORTGAGE,3,HOMEIMPROVEMENT,8000,9.62,0.05,N,17,Approved,8000,0
658552,6664654,405037,40,F,Unknown ,30000,RENT,0,MEDICAL,8000,9.63,0.27,N,14,Approved,8000,0
371788,82371414,234635,40,F,Unknown ,60000,RENT,5,PERSONAL,8000,7.51,0.13,N,15,Approved,8000,0
217400,11876904,609588,40,F,Unknown ,45000,RENT,3,MEDICAL,8000,10.38,0.18,N,17,Approved,8000,0
744983,90301280,301657,40,F,Unknown ,40000,RENT,2,VENTURE,8000,11.36,0.2,N,14,Approved,8000,0
784776,11894153,405132,40,F,Unknown ,90000,MORTGAGE,12,VENTURE,8000,7.66,0.09,N,14,Approved,8000,0
779895,79580303,600168,40,F,Unknown ,115600,MORTGAGE,4,HOMEIMPROVEMENT,8000,7.88,0.07,N,11,Approved,8000,0
276066,80421362,231976,40,F,Unknown ,85000,MORTGAGE,18,VENTURE,8000,7.88,0.09,N,17,Approved,8000,0
265255,88715287,159900,40,F,Unknown ,36000,RENT,5,MEDICAL,7600,6.03,0.21,N,14,Approved,7600,0
412609,12979429,608362,40,F,Unknown ,55000,RENT,2,EDUCATION,7500,10.65,0.14,N,14,Approved,7500,0
507916,33634060,405143,40,F,Unknown ,170004,RENT,18,EDUCATION,7500,12.68,0.04,N,17,APPROVED,7500,0
926801,10873202,165709,40,F,Unknown ,177600,MORTGAGE,11,EDUCATION,7500,11.86,0.04,N,11,Approved,7500,0
103425,28984938,609189,40,F,Unknown,132000,RENT,3,HOMEIMPROVEMENT,7500,7.9,0.06,N,11,Approved,7500,0
153315,61036511,602610,40,F,Unknown,85000,MORTGAGE,7,MEDICAL,7500,11.86,0.09,N,16,Approved,7500,0
270730,51910039,301631,40,F,Unknown,48000,RENT,3,MEDICAL,7500,10.99,0.16,N,15,Approved,7500,0
728727,26987586,185005,40,F,Unknown,50000,RENT,5,HOMEIMPROVEMENT,7500,14.27,0.15,N,14,Approved,7500,0
269101,79598387,041307,40,F,Unknown,64000,RENT,2,MEDICAL,7200,6.62,0.11,N,11,Approved,7200,0
430598,52308955,040400,40,F,Unknown,32400,MORTGAGE,12,VENTURE,7125,7.51,0.23,N,11,Approved,7125,0
142508,81696885,165187,40,F,Unknown,69930,MORTGAGE,8,PERSONAL,7125,6.62,0.1,N,16,Approved,7125,0
930057,70808631,820403,40,F,Unknown,84000,RENT,5,HOMEIMPROVEMENT,7000,6.91,0.08,N,13,Approved,7000,0
392237,97830390,080050,40,F,Unknown,149000,MORTGAGE,25,HOMEIMPROVEMENT,7000,10.59,0.05,N,14,Approved,7000,0
